"id","plot_field","subplot_field","spp","FullExpTrt","PlantGMTrt","ExpSoilSource","ExpFungSource","gasket","alive_dead","senescing","flowering","machine","anet","gsw","iwue","ci.ca","vcmax25","jmax25","jmax25_vcmax25","rd25","tpu","focal_area_cm2","focal_dryMass_g","marea","nmass","narea","leaf_d15n","cmass","leaf_cn","leaf_d13c","pnue","wet_shoot_mass_g","wet_root_mass_g","wet_rhizome_mass_g","phosphorus_la_cm2","extra_la_cm2","tla_cm2","total_wet_biomass_g","wet_root_shoot","rmf","lar"
"43",5,9,"Tri","PlantW-SoilNW-FungWsterile","W","NW","Wsterile","good","alive","n","n","gibson",1.649321402,0.017538437,94.04038695,0.541539019,11.64692186,30.35830196,2.60655152708305,0.790029773,NA,22.79,0.1677,73.5849056603774,0.04181,3.07658490566038,2.14,0.4179,0.100047858339316,-11.133,0.536088374796853,3.7,1.33,11.76,17.43,23.03,63.25,16.79,3.53783783783784,0.779630732578916,3.76712328767123
"86",5,9,"Tri","PlantW-SoilNW-FungW","W","NW","W","good","alive","y","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77,0.0351,73.5849056603774,0.05227,3.84628301886792,1.093,0.3908,0.133751279426817,-27.988,NA,0.61,0.43,9.35,4.9,4.55,14.22,10.39,16.0327868852459,0.941289701636189,1.36862367661213
"392",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW","good","dead","y","n","yadi",-0.188787505,0.006126526,NA,NA,1.420539676,4.270265572,3.00608680218236,0.487585449,NA,8.21,0.0775,94.3970767356882,0.039,3.68148599269184,1.104,0.3453,0.112945264986968,-26.999,NA,1.54,0.42,7.69,8.27,8.84,25.32,9.65,5.26623376623377,0.840414507772021,2.62383419689119
"452",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW","good","alive","n","n","albert",1.086874795,0.00942269,115.3465523,0.528151344,10.63695173,22.83355537,2.14662583318877,0.753202116,NA,12.53,0.0998,79.6488427773344,0.03895,3.10232242617717,2.262,0.3386,0.115032486709982,27.833,0.350342306727704,3.06,1.62,10.34,12.46,10.41,35.4,15.02,3.90849673202614,0.796271637816245,2.35685752330226
"482",5,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW","good","alive","n","n","yadi",0.795178699,0.011730144,67.78933583,0.691529179,7.102508718,17.64168998,2.48386741649333,0.863115063,NA,17.13,0.0769,44.8920023350846,0.04779,2.1453887915937,1.138,0.3896,0.122664271047228,-10.496,0.370645498902464,3.12,1.52,6.38,18.02,17.76,52.91,11.02,2.53205128205128,0.716878402903811,4.80127041742287
"552",3,14,"Tri","PlantW-SoilW-FungNW","W","W","NW","good","alive","y","n","yadi",-0.251676301,0.004453622,NA,NA,3.332110981,7.365328089,2.21040899627827,1.295634671,NA,10.88,0.0812,74.6323529411765,0.04555,3.39950367647059,1.702,0.405,0.112469135802469,-27.559,NA,0.6,1.04,4.81,9.58,9.88,30.34,6.45,9.75,0.906976744186047,4.70387596899225
"583",3,23,"Tri","PlantNW-SoilNW-FungW","NW","NW","W","good","alive","y","n","albert",0.367517887,0.005162979,71.18330076,0.679354769,7.061984597,13.57313035,1.92199942715338,1.118489647,NA,11.66,0.0608,52.1440823327616,0.04474,2.33292624356775,2.405,0.3917,0.11422006637733,-22.984,0.157535150548932,1.23,1.33,10.74,11.6,10.46,33.72,13.3,9.8130081300813,0.907518796992481,2.53533834586466
"614",5,11,"Tri","PlantNW-SoilW-FungW","NW","W","W","good","alive","n","n","yadi",1.504300387,0.00915424,164.3282579,0.303543199,40.28046033,69.2561239,1.71934787568501,2.101583353,NA,30.53,0.1362,44.6118571896495,0.05205,2.32204716672126,2.097,0.4569,0.113919894944189,48.719,0.647833691132157,6.12,1.45,29.71,40.26,32.26,103.05,37.28,5.09150326797386,0.835836909871245,2.76421673819742
"632",7,8,"Tri","PlantW-SoilW-FungW","W","W","W","good","alive","y","n","albert",-0.060068151,0.006948284,NA,NA,1.85002086,4.819561495,2.60513900097321,0.616575082,NA,9.74,0.0694,71.2525667351129,0.04305,3.06742299794661,2.145,0.402,0.107089552238806,-22.809,NA,1.61,0.59,10.38,8.54,7.53,25.81,12.58,6.81366459627329,0.872019077901431,2.0516693163752
"684",6,2,"Tri","PlantW-SoilNW-FungNW","W","NW","NW","good","alive","n","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.013,81.25,0.06393,5.1943125,1.555,0.4036,0.158399405351833,-27.292,NA,0.04,1.59,8.5,1.82,1.57,4.99,10.13,252.25,0.996051332675222,0.492596248766041
